i,promotion,gamma
0,low,1.153564806
1,low,1.034239746
2,low,1.138247934
3,low,1.124125577
4,low,1.090111038
5,low,1.146733759
6,low,1.112448477
7,low,1.077717729
8,low,1.117684464
9,low,1.005903199
10,low,1.114530405
11,low,1.017586335
12,low,1.172517972
13,low,1.182733291
16,low,1.193082905
17,low,1.104192407
18,low,1.152361183
19,low,1.127516242
20,low,1.023817455
21,low,1.017501282
22,low,1.194837052
23,low,1.068377509
24,low,1.10747908
25,low,1.107033361
26,low,1.020750092
27,low,1.174076546
28,low,1.106269391
29,low,1.170850396
30,low,1.041640838
31,low,1.1534224
32,low,1.030394879
33,low,1.016586384
34,low,1.058128294
35,low,1.101652651
36,low,1.141768135
37,low,1.057944902
38,low,1.073072797
39,low,1.013851931
40,low,1.09285558
41,low,1.160630919
42,low,1.023762552
43,low,1.022749413
44,low,1.008716599
45,low,1.131702106
46,low,1.072947401
47,low,1.043538656
48,low,1.119018733
49,low,1.018269436
50,low,1.012781132
51,low,1.131320265
52,low,1.092370554
53,low,1.130152229
54,low,1.134555528
55,low,1.024594031
56,low,1.19684507
57,low,1.09176305
58,low,1.070915271
59,low,1.151728811
60,low,1.173866615
61,low,1.022411775
62,low,1.047689525
63,low,1.180346841
64,low,1.156267251
65,low,1.010570566
66,low,1.010982168
67,low,1.097910167
68,low,1.07375493
69,low,1.166128109
70,low,1.006759832
71,low,1.078626199
72,low,1.026123471
73,low,1.179289642
74,low,1.19145287
75,low,1.108728012
76,low,1.153152326
77,low,1.13420916
78,low,1.115766353
79,low,1.188185496
80,low,1.127323177
81,low,1.111282626
82,low,1.06963486
83,low,1.192014573
84,low,1.005491303
85,low,1.155436265
86,low,1.12398579
87,low,1.024985723
88,low,1.128670255
89,low,1.162474147
90,low,1.181099231
91,low,1.057844952
92,low,1.09308349
93,low,1.192123683
94,low,1.150075152
95,low,1.03344809
96,low,1.161091888
97,low,1.066719591
98,low,1.057304268
99,low,1.119616467
100,low,1.137265338
101,low,1.154707009
102,low,1.023195798
103,low,1.074088383
104,low,1.127038336
105,low,1.000006515
107,low,1.014198794
110,low,1.151908711
112,low,1.023997769
115,low,1.121381973
116,low,1.120953439
117,low,1.114530948
118,low,1.128795992
119,low,1.062323415
120,low,1.061869671
121,low,1.030551336
122,low,1.105048198
123,low,1.031223144
124,low,1.185969866
125,low,1.178843381
126,low,1.040211235
127,low,1.002040956
128,low,1.147797255
129,low,1.197699398
130,low,1.12396724
131,low,1.073521632
132,low,1.164037154
133,low,1.130570503
134,low,1.055465476
135,low,1.112160816
136,low,1.065904157
137,low,1.024200496
138,low,1.144683526
139,low,1.081664321
140,low,1.169111396
141,low,1.103676994
142,low,1.136995854
143,low,1.103352841
144,low,1.092722752
145,low,1.182511747
146,low,1.189950849
147,low,1.037721023
148,low,1.107928668
149,low,1.135167035
150,low,1.140200513
151,low,1.01156652
152,low,1.029687929
153,low,1.056309584
154,low,1.188044411
155,low,1.139917472
156,low,1.137525216
157,low,1.155604853
158,low,1.036715606
159,low,1.040859775
160,low,1.073933797
161,low,1.02490132
162,low,1.123863085
163,low,1.112302519
164,low,1.044532307
165,low,1.088890925
166,low,1.050934452
167,low,1.167596472
168,low,1.033466963
169,low,1.18925209
170,low,1.054682023
171,low,1.117246353
172,low,1.070893789
173,low,1.029311443
174,low,1.043381845
175,low,1.155119329
176,low,1.082011889
177,low,1.091315401
178,low,1.14672155
179,low,1.181097751
180,low,1.075620335
181,low,1.107577415
182,low,1.009841901
183,low,1.174091155
184,low,1.108553919
185,low,1.172827116
186,low,1.092938393
187,low,1.128509088
188,low,1.197619241
189,low,1.186393006
190,low,1.143632769
191,low,1.008273607
192,low,1.164629179
193,low,1.049862658
194,low,1.195667787
195,low,1.195031455
196,low,1.071298382
197,low,1.050441406
198,low,1.152863119
199,low,1.151604254
200,low,1.10390838
201,low,1.060450205
202,low,1.117980422
203,low,1.120104918
204,low,1.025610167
205,low,1.192248753
206,low,1.144028389
207,low,1.068501955
208,low,1.003867274
209,low,1.143925953
210,low,1.085257356
211,low,1.092096033
212,low,1.03746975
213,low,1.076769308
214,low,1.032365919
215,low,1.118211658
216,low,1.063837915
217,low,1.042565288
218,low,1.138549063
219,low,1.036504107
220,low,1.075351704
221,low,1.112730576
222,low,1.183025037
223,low,1.104841522
224,low,1.131474462
225,low,1.094495268
226,low,1.023888647
227,low,1.068627099
228,low,1.016305082
229,low,1.159729853
230,low,1.106198749
231,low,1.160710735
232,low,1.17405359
233,low,1.015037975
234,low,1.078336288
235,low,1.159154072
236,low,1.075068209
237,low,1.164730617
238,low,1.015407146
239,low,1.087810705
240,low,1.154887676
241,low,1.159501545
242,low,1.14932186
243,low,1.114300154
244,low,1.181468474
245,low,1.093804982
246,low,1.058949173
247,low,1.102236239
248,low,1.113493004
249,low,1.195098327
250,low,1.127637547
251,low,1.029863197
252,low,1.164322222
253,low,1.037409747
254,low,1.100751597
255,low,1.089965818
256,low,1.02670179
257,low,1.168249488
258,low,1.01427609
260,low,1.108327819
262,low,1.167616809
263,low,1.178664982
269,low,1.193964413
271,low,1.004992676
276,low,1.185202879
277,low,1.198756321
278,low,1.035519575
413,low,1.006442825
414,low,1.098075028
420,low,1.197040612
424,low,1.168163751
428,low,1.074055996
429,low,1.035286401
434,low,1.034257767
437,low,1.039864167
439,low,1.121739002
455,low,1.070219012
456,low,1.101094537
457,low,1.175710723
460,low,1.178514476
463,low,1.058452693
467,low,1.047563751
470,low,1.105546762
471,low,1.030098907
472,low,1.034294784
473,low,1.139698163
474,low,1.096136708
475,low,1.152354026
476,low,1.115448844
477,low,1.196530153
478,low,1.179812357
479,low,1.071036234
480,low,1.174260844
481,low,1.016464658
482,low,1.048373611
483,low,1.047815462
484,low,1.027912654
485,low,1.171795049
486,low,1.170708285
487,low,1.117422075
488,low,1.093520453
489,low,1.07965083
490,low,1.127921546
491,low,1.082815101
492,low,1.021819173
493,low,1.026072182
494,low,1.171206241
495,low,1.042378805
496,low,1.168422599
497,low,1.085143024
498,low,1.030991562
499,low,1.198386864
500,low,1.076701679
501,low,1.067494399
502,low,1.173970572
503,low,1.011767113
504,low,1.049672255
505,low,1.111306748
506,low,1.156914508
507,low,1.085966134
508,low,1.114330468
509,low,1.036132389
510,low,1.170626178
511,low,1.038846709
512,low,1.173599889
513,low,1.094206058
514,low,1.04992978
515,low,1.095883998
516,low,1.005310198
517,low,1.18805152
518,low,1.135660673
519,low,1.190691877
520,low,1.092574593
521,low,1.09021324
522,low,1.172714857
523,low,1.154525127
524,low,1.053199547
525,low,1.059407751
526,low,1.110646491
527,low,1.19205938
528,low,1.075889928
529,low,1.073798206
530,low,1.166321544
531,low,1.145746296
532,low,1.055636851
533,low,1.071050935
534,low,1.077688181
535,low,1.185451033
536,low,1.152877994
537,low,1.045707001
538,low,1.016307752
539,low,1.100560689
