i,revision,theta
0,low,0.177861344
1,low,0.361209078
2,low,0.249086228
3,low,0.38917422
4,low,0.311538277
5,low,0.311384393
6,low,0.210662701
7,low,0.306778015
8,low,0.199802587
9,low,0.188335059
10,low,0.227552642
11,low,0.320178805
12,low,0.246209657
13,low,0.309394616
16,low,0.267223391
17,low,0.288875036
18,low,0.167298759
19,low,0.205870066
20,low,0.192020429
21,low,0.161568907
22,low,0.207949319
23,low,0.293823194
24,low,0.151514562
25,low,0.206355819
26,low,0.386666261
27,low,0.287927769
28,low,0.194432594
29,low,0.162579819
30,low,0.188131976
31,low,0.300860516
32,low,0.284263465
33,low,0.256246047
34,low,0.388342345
35,low,0.204381945
36,low,0.396731079
37,low,0.155168412
38,low,0.307461329
39,low,0.2596767
40,low,0.20698138
41,low,0.149933697
42,low,0.376265539
43,low,0.135041062
44,low,0.117281856
45,low,0.101812527
46,low,0.162294046
47,low,0.176979133
48,low,0.317697041
49,low,0.289384316
50,low,0.305017897
51,low,0.293027373
52,low,0.106024498
53,low,0.346239159
54,low,0.355729102
55,low,0.127664222
56,low,0.383513432
57,low,0.273334054
58,low,0.192024042
59,low,0.275814729
60,low,0.371001445
61,low,0.166304671
62,low,0.319836565
63,low,0.130361099
64,low,0.220433294
65,low,0.195637679
66,low,0.318282423
67,low,0.39389996
68,low,0.161352775
69,low,0.363544967
70,low,0.101886678
71,low,0.123574678
72,low,0.379175912
73,low,0.380978054
74,low,0.256513645
75,low,0.15977709
76,low,0.338546958
77,low,0.102395239
78,low,0.203854477
79,low,0.123232804
80,low,0.168985415
81,low,0.172946276
82,low,0.110082448
83,low,0.243017164
84,low,0.354874675
85,low,0.214341513
86,low,0.296106879
87,low,0.314392198
88,low,0.136100264
89,low,0.283224056
90,low,0.209617719
91,low,0.202350726
92,low,0.254257909
93,low,0.237374746
94,low,0.185998953
95,low,0.377435163
96,low,0.193985202
97,low,0.22954726
98,low,0.140905702
99,low,0.150295305
100,low,0.257613487
101,low,0.306138767
102,low,0.355844847
103,low,0.360991714
104,low,0.286033759
105,low,0.162615292
107,low,0.309869179
110,low,0.176284928
112,low,0.381000678
115,low,0.203837605
116,low,0.169264695
117,low,0.240361784
118,low,0.265561314
119,low,0.165077298
120,low,0.272561184
121,low,0.194278114
122,low,0.152408783
123,low,0.364195695
124,low,0.232388691
125,low,0.184867646
126,low,0.372143544
127,low,0.214393558
128,low,0.15075464
129,low,0.173831749
130,low,0.177035642
131,low,0.36187998
132,low,0.226125168
133,low,0.222560991
134,low,0.199747153
135,low,0.126936444
136,low,0.344405629
137,low,0.366878812
138,low,0.303378432
139,low,0.368009272
140,low,0.211563506
141,low,0.348299183
142,low,0.141134886
143,low,0.199292892
144,low,0.204184318
145,low,0.317922612
146,low,0.132557478
147,low,0.30344946
148,low,0.12858442
149,low,0.10537744
150,low,0.153788873
151,low,0.223249353
152,low,0.281247213
153,low,0.260890261
154,low,0.152787357
155,low,0.375175192
156,low,0.296569261
157,low,0.240224273
158,low,0.144943607
159,low,0.150248345
160,low,0.103374769
161,low,0.164599787
162,low,0.293223704
163,low,0.389389852
164,low,0.39983297
165,low,0.324455333
166,low,0.385418312
167,low,0.33519039
168,low,0.345387758
169,low,0.342284873
170,low,0.313168675
171,low,0.288474618
172,low,0.130168252
173,low,0.262389661
174,low,0.260254174
175,low,0.132927771
176,low,0.230189044
177,low,0.329080377
178,low,0.184582704
179,low,0.320770571
180,low,0.384725614
181,low,0.284209474
182,low,0.146160447
183,low,0.143577369
184,low,0.377696869
185,low,0.141036788
186,low,0.344799017
187,low,0.159243036
188,low,0.232679814
189,low,0.293514898
190,low,0.225752721
191,low,0.236850588
192,low,0.24621074
193,low,0.172467412
194,low,0.135256163
195,low,0.184932988
196,low,0.388581699
197,low,0.385104522
198,low,0.349070175
199,low,0.124494945
200,low,0.217730292
201,low,0.197604952
202,low,0.169353985
203,low,0.271084152
204,low,0.266880679
205,low,0.271348418
206,low,0.362893578
207,low,0.239672931
208,low,0.285678681
209,low,0.131385208
210,low,0.135469056
211,low,0.148444366
212,low,0.17549237
213,low,0.154552498
214,low,0.184502646
215,low,0.214043749
216,low,0.288274036
217,low,0.156610183
218,low,0.376557334
219,low,0.123165242
220,low,0.332769827
221,low,0.232262256
222,low,0.164625319
223,low,0.267063062
224,low,0.307285717
225,low,0.347233871
226,low,0.179669761
227,low,0.340690636
228,low,0.254622014
229,low,0.221373053
230,low,0.105121476
231,low,0.15432189
232,low,0.121018502
233,low,0.186142562
234,low,0.108606018
235,low,0.352048267
236,low,0.139448425
237,low,0.343158672
238,low,0.174043239
239,low,0.339440896
240,low,0.106062255
241,low,0.13931964
242,low,0.108184506
243,low,0.215586802
244,low,0.38233721
245,low,0.270701367
246,low,0.110915847
247,low,0.127836035
248,low,0.388031317
249,low,0.250011356
250,low,0.381128233
251,low,0.293486517
252,low,0.245327265
253,low,0.300461296
254,low,0.372285808
255,low,0.330310015
256,low,0.157167787
257,low,0.241551431
258,low,0.304200233
260,low,0.134213598
262,low,0.150144098
263,low,0.229618691
269,low,0.258688492
271,low,0.36704001
276,low,0.355428413
277,low,0.263460946
278,low,0.210589922
413,low,0.226648612
414,low,0.306768407
420,low,0.144404569
424,low,0.341891998
428,low,0.275730746
429,low,0.218562467
434,low,0.283225774
437,low,0.140971007
439,low,0.255024366
455,low,0.355664779
456,low,0.163866479
457,low,0.209825519
460,low,0.146935031
463,low,0.361305429
467,low,0.167149287
470,low,0.240989472
471,low,0.368526576
472,low,0.33694321
473,low,0.275555333
474,low,0.331880519
475,low,0.222424028
476,low,0.200075956
477,low,0.228116284
478,low,0.197199304
479,low,0.143484025
480,low,0.132413788
481,low,0.311883024
482,low,0.337090698
483,low,0.212565566
484,low,0.146238081
485,low,0.308253122
486,low,0.106513521
487,low,0.260095452
488,low,0.127572423
489,low,0.103168727
490,low,0.383016511
491,low,0.14278644
492,low,0.396940723
493,low,0.266077028
494,low,0.105202386
495,low,0.341352036
496,low,0.359411635
497,low,0.234441338
498,low,0.235896916
499,low,0.197233224
500,low,0.2287811
501,low,0.108926794
502,low,0.291704493
503,low,0.266499272
504,low,0.119267219
505,low,0.303148802
506,low,0.304149603
507,low,0.34700239
508,low,0.356907389
509,low,0.131942231
510,low,0.308335896
511,low,0.366770441
512,low,0.195956675
513,low,0.121693381
514,low,0.182918479
515,low,0.377303883
516,low,0.154963535
517,low,0.141315991
518,low,0.316302942
519,low,0.290955455
520,low,0.154249896
521,low,0.144972254
522,low,0.101360504
523,low,0.185091794
524,low,0.328782202
525,low,0.225908248
526,low,0.388910668
527,low,0.103473063
528,low,0.163887224
529,low,0.346988556
530,low,0.196623685
531,low,0.275001187
532,low,0.363094666
533,low,0.278094482
534,low,0.254051381
535,low,0.177379082
536,low,0.187296294
537,low,0.194648421
538,low,0.367336371
539,low,0.187756813
540,low,0.372119581
541,low,0.143693526
542,low,0.344789277
543,low,0.216778817
544,low,0.299368168
545,low,0.258579359
546,low,0.387837871
547,low,0.320606881
548,low,0.326166287
549,low,0.299369923
550,low,0.177933557
551,low,0.324406752
552,low,0.23591158
553,low,0.185627733
554,low,0.341436607
555,low,0.216219742
556,low,0.376938133
557,low,0.297970354
558,low,0.394636648
559,low,0.386505622
560,low,0.210163838
561,low,0.139238733
562,low,0.31281088
563,low,0.258047579
564,low,0.117514318
565,low,0.337783225
566,low,0.382477153
567,low,0.1855187
568,low,0.239165657
569,low,0.287593134
570,low,0.180558219
571,low,0.21840045
572,low,0.273591036
573,low,0.161052331
574,low,0.373322437
575,low,0.34493844
576,low,0.371365437
577,low,0.242702856
578,low,0.258291027
579,low,0.123319375
580,low,0.332200354
581,low,0.128878707
582,low,0.387448987
583,low,0.268778925
584,low,0.230324106
585,low,0.268074282
586,low,0.22743116
587,low,0.160090458
588,low,0.263230414
589,low,0.319841783
590,low,0.242638253
591,low,0.207599368
592,low,0.17869254
593,low,0.306399215
594,low,0.344910341
595,low,0.392036006
596,low,0.372878905
597,low,0.390993329
598,low,0.139404683
599,low,0.370312531
600,low,0.191366846
601,low,0.313226823
602,low,0.150124495
603,low,0.243028073
604,low,0.367991795
605,low,0.242764014
606,low,0.325223447
607,low,0.260734653
608,low,0.363231252
609,low,0.137779097
610,low,0.27582192
611,low,0.225709237
612,low,0.100778488
613,low,0.191914811
614,low,0.336951274
615,low,0.154080915
616,low,0.383908069
617,low,0.223370482
618,low,0.376346079
619,low,0.114982746
620,low,0.331948919
621,low,0.302940623
622,low,0.358973543
623,low,0.152731294
624,low,0.381725066
625,low,0.281190802
626,low,0.121959335
627,low,0.146088959
632,low,0.209667802
633,low,0.141858934
635,low,0.196935489
636,low,0.272107088
638,low,0.145972799
644,low,0.155211134
645,low,0.170377424
648,low,0.334121386
651,low,0.263941789
652,low,0.357758529
653,low,0.327898909
655,low,0.313543046
657,low,0.167874691
658,low,0.361772734
659,low,0.338189788
660,low,0.128643059
661,low,0.314738969
662,low,0.328739634
663,low,0.178199615
664,low,0.379991689
665,low,0.393620063
666,low,0.173660963
667,low,0.398651383
668,low,0.25901797
669,low,0.345521551
670,low,0.314187822
671,low,0.378255366
672,low,0.315877823
673,low,0.132963511
674,low,0.133792832
675,low,0.395081895
676,low,0.216192998
677,low,0.278619812
678,low,0.213972906
679,low,0.228571772
680,low,0.253685236
681,low,0.321024735
682,low,0.322412259
683,low,0.397503189
684,low,0.313686999
685,low,0.362323973
686,low,0.199865573
687,low,0.35996395
688,low,0.11622046
689,low,0.350363348
690,low,0.118886584
691,low,0.337025212
692,low,0.108650959
693,low,0.37549036
694,low,0.141240667
695,low,0.169684103
696,low,0.17477119
697,low,0.197936332
698,low,0.137759632
699,low,0.184527082
700,low,0.27835257
701,low,0.354194982
702,low,0.347038774
703,low,0.104939492
704,low,0.313053594
705,low,0.133227226
706,low,0.205690478
707,low,0.125295266
708,low,0.32194932
709,low,0.261486393
710,low,0.363896919
711,low,0.131137287
712,low,0.32084537
713,low,0.2984664
714,low,0.319964409
715,low,0.274648582
716,low,0.295998317
717,low,0.162670567
718,low,0.260222465
719,low,0.211301578
720,low,0.240813697
721,low,0.262564657
722,low,0.324923534
